Номер,Модуль,Предусловие,Вводимые значения,ОР,ФР,Статус
,,,.Marta.,"Ввести точку в начале строки и в конце, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,-Marta-,"Ввести тире в начале строки и в конце, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,_Marta_,"Ввести нижнее подчеркивание в начале строки и в конце, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Marta (пробел в конце строки),"Ввести валидные символы вначале и далее 1 пробел, поле пройдет валидацию",,Passed
,,,Mar ta,"Ввести валидные символы, пробел и снова валидные символы, поле пройдет валидацию",,Passed
,,, Marta,"Ввести вначале пробел и далее валидные данные, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,123456,"Ввести только цифры, поле пройдет валидацию",,Passed
,,,123marta,"Ввести цифры вначале, далее символы, поле пройдет валидацию",,Passed
,,,marta123,"Ввести цифры в конце, поле пройдет валидацию",,Passed
,,,m1a2r3t4a5,"Ввести цифры и символы поочередно, поле пройдет валидацию",,Passed
,,,Mar1234ta,"Ввести цифры подряд в середине строки, поле пройдет валидацию",,Passed
,,,,"Ввести имя в верхнем регистре, поле пройдет валидацию",,Passed
,,,,"Ввести имя в нижнем регистрем, поле пройдет валидацию",,Passed
,,,,Можно вставить из буфера обмена,,Passed
,,,,"Есть возможность скопировать данные из поля в буфер обмена
(проверить, что они туда скопировались!)",,Passed
,,,11MM22rrttaaaa,"Ввести повторяющиеся буквы и цифры, поле пройдет валидацию",,Passed
,,,Mart__a,При вводе повторяющиеся спец. символов поле не пройдет валидацию,Поле прошло валидацию,Failed 
,,,Mar-_.ta,"Ввести name со всеми разрешенными спец. символами подряд, поле пройдет валидацию",,Passed
,,,Fuck,При вводе неценз. слов поле не пройдет валидацию,Поле прошло валидацию,Failed 
,Surname,Все остальные поля должны быть заполнены валидными данными,,,,
,,,,Пустое поле не пройдет валидацию,,Passed
,,,,"Поле отмечено звездочкой, так как обязательно к заполнению",Поле не отмечено звездочкой,Failed
,,,,Отсутствует ховер эффект при наведении,,Passed
,,,,Пропадает плейсхолдер при ховере,,Passed
,,,,Пропадает плейсхолдер в фокусе,Плейсхолдер при фокусе не пропадает,Failed
,,,,В фокусе появляется синий бордер у поля,,Passed
,,,,При перезагрузке страницы данные не сохраняются в поле,,Passed
,,,,Можно после написания удалить посимвольно с конца строки,,Passed
,,,,Можно после написания перейти курсором к середине строки и скорректировать данные. И также сделать это клавишами управления с клавиатуры,,Passed
,,,,При нажатии на enter осуществляется отправка формы,,Passed
,,,,"При нажатии на tab переходит к следующему полю, сохраняя при этом данные",,Passed
,,,,В поле есть левый и правый паддинг при заполнении текстом,,Passed
,,,,На латинице поле проходит валидацию,,Passed
,,,,На кирилице поле не проходит валидацию,Поле проходит валидацию на кирилице,Failed 
,,,"Name: Marta
Surname: Marta",Введенная фамилия аналогичная имени не проходит валидацию,Поле прошло валидацию,Failed 
,,,,"При переполненнии поля текстом оно не растягивается, видны последние вводимые символы",,Passed
,,,M,"Ввести 1 символ (латиница), поле не проходит валидацию",,Passed
,,,Ma,"Ввести 2 символа (латиница), поле проходит валидацию",При вводе 2-х символов на латинице поле не проходит валидацию,Failed 
,,,Mar,"Ввести 3 символа (латиница), поле проходит валидацию",При вводе 3-х символов на латинице поле не проходит валидацию,Failed 
,,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliqu","Ввести 127 символов, поле прошло валидацию",При вводе 127-и символов на латинице поле не проходит валидацию,Failed 
,,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliqua","Ввести 128 символов, поле прошло валидацию",При вводе 128-и символов на латинице поле не проходит валидацию,Failed 
,,,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit, sed diam nonummy nibh euismod tincidunt ut laoreet dolore magna aliquam","Ввести 129 символов, поле прошло валидацию",При вводе 129-и символов на латинице поле не проходит валидацию,Failed 
,,,Ar-si,"Можно ввести surname с тире в середине строки, поле пройдет валидацию",,Passed
,,,Ar_si,"Можно ввести surname с нижним подчеркиванием в середине строки, поле пройдет валидацию",,Passed
,,,Ar.si,"Можно ввести surname с точкой в середине строки, поле пройдет валидацию",,Passed
,,,A.r-s_i,"Допускается surname с тире, нижнем подчеркиванием и точкой поочередно с буквами",,Passed
,,,Ar!si,"Ввести surname  с восклицательным знаком в середине строки, поле пройдет не валидацию",Поле прошло валидацию,Failed 
,,,Ar$si,"Ввести surname со знаком доллара в середине строки, поле пройдет не валидацию",Поле прошло валидацию,Failed 
,,,Ar%si,"Ввести surname с процентом в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Ar@si,"Ввести surname с собакой в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Ar*si,"Ввести surname со звездочкой в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Ar#si,"Ввести surname с решеткой в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Ar&si,"Ввести surname с амперсанд в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,Ar?si,"Ввести surname со знаком вопроса в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,"Ar,si","Ввести surname с запятой в середине строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,.Arsi,Surname не может начинаться с точки,Поле прошло валидацию,Failed 
,,,-Arsi,Surname не может начинаться с тире,Поле прошло валидацию,Failed 
,,,_Arsi,Surname не может начинаться с нижнего подчеркивания,Поле прошло валидацию,Failed 
,,,Arsi.,Surname не может заканчиваться с точки,Поле прошло валидацию,Failed 
,,,Arsi-,Surname не может заканчиваться с тире,Поле прошло валидацию,Failed 
,,,Arsi_,Surname не может заканчиваться с нижнего подчеркивания,Поле прошло валидацию,Failed 
,,,.Arsi.,Surname не может начинаться и заканчиваться с точки,Поле прошло валидацию,Failed 
,,,-Arsi-,Surname не может начинаться и заканчиваться с тире,Поле прошло валидацию,Failed 
,,,_Arsi_,Surname не может начинаться и заканчиваться с нижнего подчеркивания,Поле прошло валидацию,Failed 
,,,Arsi ,"Ввести валидные символы вначале и далее 1 пробел, поле пройдет валидацию",,Passed
,,,Ar si,"Ввести валидные символы, пробел и снова валидные символы, поле пройдет валидацию",,Passed
,,, Arsi,"Ввести вначале пробел и далее валидные данные, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,,,,
,,,123456,"Ввести только цифры, поле пройдет валидацию",,Passed
,,,123arsi456,"Ввести цифры вначале, далее буквы, поле пройдет валидацию",,Passed
,,,Arsi123,"Ввести цифры в конце, поле пройдет валидацию",,Passed
,,,A1r2s3i,"Ввести цифры и символы поочередно, поле пройдет валидацию",,Passed
,,,,"Ввести в верхнем регистре, поле пройдет валидацию",,Passed
,,,,"Ввести в нижнем регистрем, поле пройдет валидацию",,Passed
,,,,Можно вставить из буфера обмена,,Passed
,,,,"Скопировать данные из поля в буфер обмена, и проверить, что они туда скопировались",,Passed
,,,11AA22rrsssiiiiiii,"Ввести повторяющиеся буквы и цифры, поле пройдет валидацию",,
,,,Ars__i,При вводе повторяющиеся спец. символов поле не пройдет валидацию,Поле прошло валидацию,Failed 
,,,Fuck,При вводе неценз. слов поле не пройдет валидацию,Поле прошло валидацию,Failed 
,Email,Все остальные поля должны быть заполнены валидными данными,,,,
,,,,Пустое поле не пройдет валидацию,,Passed
,,,,"Поле отмечено звездочкой, так как обязательно к заполнению",Поле не отмечено звездочкой,Failed
,,,,Отсутствует ховер эффект при наведении,,Passed
,,,,Пропадает плейсхолдер при ховере,,Passed
,,,,Пропадает плейсхолдер в фокусе,Плейсхолдер в фокусе не пропадает,Failed
,,,,В фокусе появляется синий бордер у поля,,Passed
,,,,При перезагрузке страницы данные не сохраняются в поле,,Passed
,,,,Можно после написания удалить посимвольно с конца строки,,Passed
,,,,Можно после написания перейти курсором к середине строки и скорректировать данные. И также сделать это клавишами управления с клавиатуры,,Passed
,,,,При нажатии на enter осуществляется отправка формы,,Passed
,,,,"При нажатии на tab переходит к следующему полю, сохраняя при этом данные",,Passed
,,,name@mail.ru,На латинице поле проходит валидацию,,Passed
,,,имя@домен.ру,На кирилице поле не проходит валидацию,Поле проходит валидацию на кирилице,Failed 
,,,,В поле есть левый и правый паддинг при заполнении текстом,,Passed
,,,,"При переполненнии поля текстом оно не растягивается, видны последние вводимые символы",,Passed
,,,Test-string,"Поле не пройдет валидацию, если указать строку без обязательных символов собаки и точки(@ и .) ",Поле прошло валидацию,Failed 
,,,name@mail.ru,"Прописать корректный адрес почты, с корректной маской, поле пройдет валидацию",,Passed
,,,name@mail,"Прописать адрес только с @ в маске, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name.ru,"Прописать адрес только с . в маске, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name@mail.corp.ru,"Указав двойную доменную зону в адресе, поле пройдет валидацию",,Passed
,,, name@mail.ru,"Указать пробелы в начале строки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name @mail.ru,"Указать пробел в середине доменного имени, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name@mail.ru ,"Указать пробел в конце адреса почты, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name-surname@mail.ru,"Указать в доменном имени тире, поле пройдет валидацию",,Passed
,,,name--surname@mail.ru,"При повторе спец. символов (двойное тире) в доменном имени, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name@mail--corp.ru,"При указании спец. символов (двойное тире) в доменной зоне, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name-surname@@mail.ru,При повторе спец. символа @ поле не пройдет валидацию,Поле прошло валидацию,Failed 
,,,name-surname@mail..ru,"При повторе точки в доменной зоне, поле не пройдет валиадцию",Поле прошло валидацию,Failed 
,,,name..surname@mail.ru,"При повторе точки в доменном имени, поле не пройдет валиадцию",Поле прошло валидацию,Failed 
,,,@mail.ru,"При отсутствии символов до @, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,nam@mail.ru,"При вводе 3 символов до @, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name@mail.ru,"При вводе 4 символов до @, поле пройдет валидацию",,Passed
,,,names@mail.ru,"При вводе 5 символов до @, поле пройдет валидацию",,Passed
,,,Lorem-ipsum-dolor si@mail.ru,"При вводе 20 символов до @, поле пройдет валидацию",,Passed
,,,Lorem-ipsum-dolortsit ametd-consect@mail.ru,"При вводе 35 символов до @, поле пройдет валидацию",,Passed
,,,Lorem-ipsum-dolortsit ametd-consectetuer-adipiscin@mail.ru,"При вводе 50 символов до @, поле пройдет валидацию",,Passed
,,,Lorem-ipsum-dolortsit ametd-consectetuer-adipiscing-elits-sed-d@mail.ru,"При вводе 63 символов до @, поле пройдет валидацию",,Passed
,,,Lorem-ipsum-dolortsit ametd-consectetuer-adipiscing-elits-sed-di@mail.ru,"При вводе 64 символов до @, поле пройдет валидацию",,Passed
,,,Lorem-ipsum-dolortsit ametd-consectetuer-adipiscing-elits-sed-dir@mail.ru,"При вводе 65 символов до @, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name@.ru,"При отсутствии символов после @ и до последней точки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name@m.ru,"При вводе 1 символа после @ и до последней точки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name@ma.ru,"При вводе 2 символов после @ и до последней точки, поле  пройдет валидацию",,Passed
,,,name@mai.ru,"При вводе 3 символов после @ и до последней точки, поле пройдет валидацию",,Passed
,,,name@lorem-ipsu.ru,"При вводе 10 символов после @ и до последней точки, поле пройдет валидацию",,Passed
,,,name@lorem-ipsum-dolor-si.ru,"При вводе 20 символов после @ и до последней точки, поле пройдет валидацию",,Passed
,,,name@lorem-ipsum-dolor-sit-ametd-con.ru,"При вводе 31 символа после @ и до последней точки, поле пройдет валидацию",,Passed
,,,name@lorem-ipsum-dolor-sit-ametd-conf.ru,"При вводе 32 символов после @ и до последней точки, поле пройдет валидацию",,Passed
,,,name@lorem-ipsum-dolor-sit-ametd-confs.ru,"При вводе 33 символов после @ и до последней точки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name@mail.r,"При вводе 1 символа после последней точки, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,name@mail.ru,"При вводе 2 символов после последней точки, поле пройдет валидацию",,Passed
,,,name@mail.com,"При вводе 3 символов после последней точки, поле пройдет валидацию",,Passed
,,,name@mail.lorem-ipsu,"При вводе 10 символов после последней точки, поле пройдет валидацию",,Passed
,,,name@mail.lorem-ipsum-dolor-si,"При вводе 20 символов после последней точки, поле пройдет валидацию",,Passed
,,,name@mail.lorem-ipsum-dolor-sit-ametd-con,"При вводе 31 символа после последней точки, поле пройдет валидацию",,Passed
,,,name@mail.lorem-ipsum-dolor-sit-ametd-conf,"При вводе 32 символов после последней точки, поле пройдет валидацию",,Passed
,,,name@mail.lorem-ipsum-dolor-sit-ametd-confs,"При вводе 33 символов после последней точки, поле пройдет не валидацию",Поле прошло валидацию,Failed 
,,,,При вводе одноразового емайла поле пройдет валидацию,,Passed
,,,.name@mail.ru,Доменное имя не может начинаться со спецсимвола,Поле прошло валидацию,Failed 
,,,name@mail.ru.,Доменное имя не может заканчиваться спецсимволом,Поле прошло валидацию,Failed 
,,,1name@mail.ru.,Доменное имя может начинаться с цифры,,Passed
,,,name1@mail.ru.,Доменное имя может заканчивыаться цифрой,,Passed
,,,1name@mail.ru.,Доменное имя может содержать цифру,,Passed
,,,name@mail1.ru.,"Доменная зона не может содержать цифры, такая запись валидацию не пройдет",Поле прошло валидацию,Failed 
,,,NAME@MAIL.COM,Поле пройдет валидацию в верхнем регистре,,Passed
,,,Lorem-ipsum-dolor sit ametd-consectetuer-adipiscing-elits-sed-dir@lorem-ipsum-dolor-sit-ametd-confs.lorem-ipsum-dolor-sit-ametd-confs,"Указать емайл с максимально допустимым кол-ом символов в доменном имени и зоне, поле пройдет валидацию",,Passed
,,,duble-name@mail.ru,"Ввести емайл, который уже зарегестрирован в системе, поле не пройдет валидацию",Поле прошло валидацию,Failed 
,Password,Все остальные поля должны быть заполнены валидными данными,,,,
,,,,Данное поле нельзя оставить пустым,,Passed
,,,,Данное поле обязательное к заполнению и отмечено * (звездочкой),Поле не отмечено,Failed 
,,,,Пропадает плейсхолдер в фокусе,Плейсхолдер не пропадает в фокусе,Failed 
,,,,Отсутствует ховер эффект при наведении,,Passed
,,,,При фокусе появляется синий бордер у поля,,Passed
,,,,При перезагрузке страницы данные не сохраняются в поле,,Passed
,,,,Можно после написания удалить посимвольно с конца строки,,Passed
,,,,"Можно после написания перейти курсором к середине строки и скорректировать данные. И также сделать это клавишами управления с клавиатуры. 
",,Passed
,,,,При нажатии на enter осуществляется отправка формы,,Passed
,,,,"При нажатии на tab переходит к следующему полю, сохраняя при этом данные",,Passed
,,,,"При переполненнии поля текстом оно не растягивается, видны последние вводимые символы",,Passed
,,,,В поле есть левый и правый паддинг при заполнении текстом,,Passed
,,,ЛондонПариж,"Ввести пароль на кирилице, поле не пройдет валидацию",Поле принимает пароль на кириллице и с ним прохоодит валидацию,Failed 
,,,HDLo@!.1,"При наличии в пароле  всех 3-х спец символов (собака, восклицательный знак, точка), поле пройдет валидацию",,Passed
,,,HDLo@ijU1,"При наличии в пароле спец символа собаки, поле пройдет валидацию",,Passed
,,,HDLo.ijU1,"При наличии в пароле спец символа точки, поле пройдет валидацию",,Passed
,,,HDLo!ijU1,"При наличии в пароле спец символа восклицательного знака, поле пройдет валидацию",,Passed
,,,HDLoijU1,"При отсутствии какого либо из 3-х спец символов (собака, восклицательный знак, точка), поле не пройдет валидацию",Поле прошло валидацию,Failed 
,,,@HDLoijU1,Пароль может начинаться с разрешенного спец. символа,,Passed
,,,HDLoijU1@,Пароль может заканчиваться с разрешенного спец. символа,,Passed
,,,HDLo@!.1,Спецсимволы могут записываться подряд,,Passed
,,,HDLo!$jU1,"Пароль со знаком доллара, не пройдет валидацию",Поле прошло валидацию,Failed 
,,,HDLo%ijU1,"Пароль со знаком процента, не пройдет валидацию",Поле прошло валидацию,Failed 
,,,HDLo#ijU1,"Пароль со знаком решетка, не пройдет валидацию",Поле прошло валидацию,Failed 
,,,HDLo&ijU1,"Пароль со знаком амперсанд, не пройдет валидацию",Поле прошло валидацию,Failed 
,,,HDLo?ijU1,"Пароль со знаком вопроса, не пройдет валидацию",Поле прошло валидацию,Failed 
,,,"HDLo,ijU1","Пароль со знаком запятая, не пройдет валидацию",Поле прошло валидацию,Failed 
,,,HDLo@!.,Пароль не содержащий цифры валидацию не пройдет,Поле прошло валидацию,Failed 
,,,sfgn1df,"Пароль не содержащий минимум 1 букву в верхнем регистре, валидацию не пройдет",Поле прошло валидацию,Failed 
,,,J1@,Пароль содержащий 3 символа валидацию не пройдет,Поле прошло валидацию,Failed 
,,,Jofj7!@,Пароль содержащий 7 символов валидацию не пройдет,Поле прошло валидацию,Failed 
,,,Jofj7!@j,Пароль содержащий 8 символов валидацию пройдет,,Passed
,,,Jofj7!@jk,Пароль содержащий 9 символов валидацию пройдет,,Passed
,,,Jofj7!@jky67D!@,Пароль содержащий 15 символов валидацию пройдет,,Passed
,,,Jofj7!@jky67D!@f,Пароль содержащий 16 символов валидацию пройдет,,Passed
,,,Jofj7!@jky67D!@fR,Пароль содержащий 17 символов валидацию не пройдет,Поле прошло валидацию,Failed 
,,,Jofj7!@ jky67,Пробел в середине строки запрещен,Поле прошло валидацию,Failed 
,,,Jofj7!@jky67 ,Пробел в конце строки запрещен,Поле прошло валидацию,Failed 
,,, Jofj7!@jky67,Пробел в начале строки запрещен,Поле прошло валидацию,Failed 
,,,"Корректная запись: 
Jofj7!@j
Вводимые данные:
jOFJ7!@J","Ввести корректный пароль, но в другом регистре. Поле не пройдет валидацию",,Passed
,,,Jofj7!@jky67,"При вводе символов они не видны на экране, вместо пароля булеты",,Passed
,,,,Нельзя копировать из буфера обмена,Данные скопированы в буфер,Failed 
,,,,Нельзя вставлять из буфера обмена,Данные вставлены мз буфера,Failed 
,Submit,Все остальные поля должны быть заполнены валидными данными,,,,
,,,,Меняет свое состояние при ховере,,Passed
,,,,Меняет свое состояние при эктив,,Passed
,,,,При нажатии отправляет скрипт с данными на сервер,,Passed
,,,,В момент нажатия срабатывает скрипт валидации полей,,Passed
,,,,Расположена по центру формы,,Passed
,,,,Текст кнопки расположен по центру,Есть левый паддинг,Failed 
,,,,При уменьшении масштаба кнопка уменьшается к центру,,Passed
,,,,При увеличении масштаба кнопка увеличивается к центру,,Passed
,Form,Все поля должны быть заполнены валидными данными,,,,
,,,,Все поля должны быть унифицированы,Во всех полях разный стиль плейсхолдера,Failed 
,,"Поле name пропущено, остальные поля заполнены корректно",,"Нажать кнопку ""submit"", выведено сообщение об ошибке ""Error: Error: All Fields are Required""",,Passed
,,"Поле surname пропущено, остальные поля заполнены корректно",,"Нажать кнопку ""submit"", выведено сообщение об ошибке ""Error: Error: All Fields are Required""",,Passed
,,"Поле email пропущено, остальные поля заполнены корректно",,"Нажать кнопку ""submit"", выведено сообщение об ошибке ""Error: Error: All Fields are Required""",,Passed
,,"Поле password пропущено, остальные поля заполнены корректно",,"Нажать кнопку ""submit"", выведено сообщение об ошибке ""Error: Error: All Fields are Required""",,Passed
,,,,Форма отцентрирована ,,Passed
,,,,При уменьшении масштаба форма уменьшается к центру,,Passed
,,,,При увеличении масштаба форма увеличивается к центру,,Passed
,,,,В момент отправки формы срабатывает скрипт валидации полей,,
,,,,"При успешной авторизации выводит соответстующее сообщение внизу формы ""Success! Hello: Marta Arslanova""",,Passed
,Заголовок,,,,,
,,,,Отображает действие формы,"Не говорит о действии, которое совершает форма",Failed 
